type;frtags;stdfrtags;fradjs;stdfradjs
p;Classe I squelettique,classe 1 squelettique,classe i squelettique;classe i squelettique,classe 1 squelettique,classe i squelettique;idéal|idéale|idéaux|idéales|parfait|parfaite|parfaits|parfaites|harmonieux|harmonieuse|harmonieuses;ideal|ideale|ideaux|ideales|parfait|parfaite|parfaits|parfaites|harmonieux|harmonieuse|harmonieuses
p;Classe II squelettique,classe 2 squelettique,classe ii squelettique;classe ii squelettique,classe 2 squelettique,classe ii squelettique;division 1|div 1|div1,division 2|div 2|div2;division 1|div 1|div1,division 2|div 2|div2
p;Classe III squelettique,classe 3 squelettique,classe iii squelettique;classe iii squelettique,classe 3 squelettique,classe iii squelettique;;
v;classe I d'Angle,Neutrocclusion,Neutrocclusionne,Neutrocclusions,Neutrocclusionnes,Occlusion normale,Occlusions normales,Relation molaire de Classe I,Normocclusion,Normocclusionne,Normocclusions,Normocclusionnes,Classe 1 Dentaire,relation molaire neutre,relations molaires neutres,classe 1,classe I,classe dentaire;classe i d'angle,neutrocclusion,neutrocclusionne,neutrocclusions,neutrocclusionnes,occlusion normale,occlusions normales,relation molaire de classe i,normocclusion,normocclusionne,normocclusions,normocclusionnes,classe 1 dentaire,relation molaire neutre,relations molaires neutres,classe 1,classe i,classe dentaire;avec diastèmes|avecs diastèmes|avec espaces|avecs espaces|espacé|espacée|espacés|espacées,avec encombrement|avecs encombrements|encombré|encombrée|encombrés|encombrées;avec diastemes|avecs diastemes|avec espaces|avecs espaces|espace|espacee|espaces|espacees,avec encombrement|avecs encombrements|encombre|encombree|encombres|encombrees
v;classe II d'Angle,Distocclusion,Distocclusionne,Distocclusions,Distocclusionnes,Rétrognathie dentaire,Rétrognathies dentaires,Surplomb horizontal augmenté,Surplombs horizontaux augmentés,Overjet augmenté,Classe 2 Dentaire,surplomb horizontal accru,surplombs horizontaux accrus,distocclusion dentaire,distocclusions dentaires,classe 2,classe II,disto-occlusion,disto-occlusionne,disto-occlusions,disto-occlusionnes,rétrusion dentaire,rétrusions dentaires;classe ii d'angle,distocclusion,distocclusionne,distocclusions,distocclusionnes,retrognathie dentaire,retrognathies dentaires,surplomb horizontal augmente,surplombs horizontaux augmentes,overjet augmente,classe 2 dentaire,surplomb horizontal accru,surplombs horizontaux accrus,distocclusion dentaire,distocclusions dentaires,classe 2,classe ii,disto occlusion,disto occlusionne,disto occlusions,disto occlusionnes,retrusion dentaire,retrusions dentaires;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères,division 1|div 1|div1,division 2|div 2|div2,subdivision|unilatéral|unilatérale|unilatéraux|unilatérales|asymétrique|asymétriques;severe|severes|grave|graves|marque|marquee|marques|marquees|important|importante|importants|importantes,modere|moderee|moderes|moderees|leger|legere|legers|legeres,division 1|div 1|div1,division 2|div 2|div2,subdivision|unilateral|unilaterale|unilateraux|unilaterales|asymetrique|asymetriques
v;classe III d'Angle,Mésiocclusion,Mésiocclusionne,Mésiocclusions,Mésiocclusionnes,Prognathie dentaire,Prognathies dentaires,Occlusion inversée,Occlusions inversées,Classe 3 Dentaire,sous-occlusion dentaire,sous-occlusions dentaires,mésiocclusion dentaire,mésiocclusions dentaires,classe 3,classe III,mésio-occlusion,mésio-occlusionne,mésio-occlusions,mésio-occlusionnes,protrusion,protrusionne,protrusions,protrusionnes;classe iii d'angle,mesiocclusion,mesiocclusionne,mesiocclusions,mesiocclusionnes,prognathie dentaire,prognathies dentaires,occlusion inversee,occlusions inversees,classe 3 dentaire,sous occlusion dentaire,sous occlusions dentaires,mesiocclusion dentaire,mesiocclusions dentaires,classe 3,classe iii,mesio occlusion,mesio occlusionne,mesio occlusions,mesio occlusionnes,protrusion,protrusionne,protrusions,protrusionnes;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères,subdivision|unilatéral|unilatérale|unilatéraux|unilatérales|asymétrique|asymétriques;severe|severes|grave|graves|marque|marquee|marques|marquees|important|importante|importants|importantes,modere|moderee|moderes|moderees|leger|legere|legers|legeres,subdivision|unilateral|unilaterale|unilateraux|unilaterales|asymetrique|asymetriques
p;rétrognathie mandibulaire,Rétromandibulisme,Rétromandibulismes,rétromandibulaire,rétromandibulaires,mandibule en arrière,mandibules ens arrières,mandibule reculée,mandibules reculées,mandibule en retrait,mandibules ens retraits;retrognathie mandibulaire,retromandibulisme,retromandibulismes,retromandibulaire,retromandibulaires,mandibule en arriere,mandibules ens arrieres,mandibule reculee,mandibules reculees,mandibule en retrait,mandibules ens retraits;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes;severe|severes|grave|graves|marque|marquee|marques|marquees|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modere|moderee|moderes|moderees|leger|legere|legers|legeres|benin|benigne|benins|benignes
p;rétrognathie maxillaire,rétromaxillaire,rétromaxillaires,maxillaire en arrière,maxillaires ens arrières,maxillaire reculé,maxillaires reculés,maxillaire en retrait,maxillaires ens retraits;retrognathie maxillaire,retromaxillaire,retromaxillaires,maxillaire en arriere,maxillaires ens arrieres,maxillaire recule,maxillaires recules,maxillaire en retrait,maxillaires ens retraits;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes;severe|severes|grave|graves|marque|marquee|marques|marquees|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modere|moderee|moderes|moderees|leger|legere|legers|legeres|benin|benigne|benins|benignes
p;Prognathisme mandibulaire,prognathie mandibulaire,prognathies mandibulaires,mandibule en avant,mandibules ens avants,mandibule avancée,mandibules avancées,mandibule proéminente,mandibules proéminentes;prognathisme mandibulaire,prognathie mandibulaire,prognathies mandibulaires,mandibule en avant,mandibules ens avants,mandibule avancee,mandibules avancees,mandibule proeminente,mandibules proeminentes;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes;severe|severes|grave|graves|marque|marquee|marques|marquees|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modere|moderee|moderes|moderees|leger|legere|legers|legeres|benin|benigne|benins|benignes
p;Prognathisme maxillaire,prognathie maxillaire,prognathies maxillaires,maxillaire en avant,maxillaires ens avants,maxillaire avancé,maxillaires avancés,maxillaire proéminent,maxillaires proéminents;prognathisme maxillaire,prognathie maxillaire,prognathies maxillaires,maxillaire en avant,maxillaires ens avants,maxillaire avance,maxillaires avances,maxillaire proeminent,maxillaires proeminents;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes;severe|severes|grave|graves|marque|marquee|marques|marquees|important|importante|importants|importantes|majeur|majeuse|majeurs|majeuses|complexe|complexes,modere|moderee|moderes|moderees|leger|legere|legers|legeres|benin|benigne|benins|benignes
